CODIGO CIE;CODIGO INEP;ESCOLA;DIRETORIA;MUNICIPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO
17224;35017224;JOAO XXIII;AMERICANA;AMERICANA;;;4.72
17231;35017231;EMILIO ROMI COMENDADOR;AMERICANA;SANTA BARBARA D'OESTE;;;4.59
17243;35017243;ANGELO CAMPO DALL ORTO;SUMARE;SUMARE;;3.32;3.23
17255;35017255;GUIDO ROSOLEN;SUMARE;HORTOLANDIA;;3.99;3.35
17267;35017267;JOAO FRANCESCHINI;SUMARE;SUMARE;;3.32;2.53
17279;35017279;MANOEL IGNACIO DA SILVA;SUMARE;HORTOLANDIA;;4.74;3.82
17292;35017292;ANTONIO MATARAZZO PROF;AMERICANA;SANTA BARBARA D'OESTE;;5.78;
17309;35017309;JOAO THIENNE DR;AMERICANA;NOVA ODESSA;;4.36;2.99
17310;35017310;WADIH JORGE MALUF;SUMARE;SUMARE;;2.86;2.05
17322;35017322;JOAO SOLIDARIO PEDROSO PROF;AMERICANA;AMERICANA;4.57;;
17334;35017334;OLYMPIA BARTH DE OLIVEIRA PROFA;AMERICANA;AMERICANA;6.71;4.27;3.38
17346;35017346;GERMANO BENENCASE MAESTRO;AMERICANA;AMERICANA;6.38;3.22;2.81
17361;35017361;FRANCISCO TOZZI DR;MOGI MIRIM;AGUAS DE LINDOIA;;;4.42
17401;35017401;JOAO PEDRO DE GODOY MOREIRA CEL;MOGI MIRIM;PEDREIRA;;2.74;2.19
17425;35017425;CLODOVEU BARBOSA PROF;MOGI MIRIM;MONTE ALEGRE DO SUL;;;3.65
17437;35017437;PEDRO DE TOLEDO;MOGI MIRIM;LINDOIA;;;3.29
17450;35017450;IBRANTINA CARDONA;MOGI MIRIM;HOLAMBRA;;;2.67
17498;35017498;FENIZIO MARCHINI PROF;MOGI MIRIM;ITAPIRA;;4.73;2.78
17516;35017516;PEDRO FERREIRA CINTRA PROF;MOGI MIRIM;ITAPIRA;;3.65;2.47
17528;35017528;NOEDIR MAZZINI;MOGI MIRIM;AMPARO;6.52;5.82;
17536;35017536;FRANCISCO DA SILVEIRA FRANCO;MOGI MIRIM;AMPARO;5.74;4.54;3.45
17541;35017541;LUIZ LEITE;MOGI MIRIM;AMPARO;;4.16;4.07
17553;35017553;RANGEL PESTANA;MOGI MIRIM;AMPARO;;3.66;2.57
17565;35017565;NELSON ALVES DE GODOY DR;MOGI MIRIM;AMPARO;5.69;4.38;2.75
17577;35017577;CORIOLANO BURGOS DR;MOGI MIRIM;AMPARO;;;4.10
17590;35017590;ANTONIO CAIO;MOGI MIRIM;ITAPIRA;;3.53;2.47
17619;35017619;JULIO MESQUITA DR;MOGI MIRIM;ITAPIRA;6.71;;
17620;35017620;CAETANO MUNHOZ PREFEITO;MOGI MIRIM;ITAPIRA;;3.31;2.44
17632;35017632;VICENTE RIZZO DR;MOGI MIRIM;AGUAS DE LINDOIA;6.98;3.85;3.06
17644;35017644;JOVINO SILVEIRA DR;MOGI MIRIM;SERRA NEGRA;;3.53;2.10
17656;35017656;SYLVIO DE AGUIAR MAYA DR;MOGI MIRIM;PEDREIRA;;4.06;2.47
17673;35017673;MARIA DO CARMO DE GODOY RAMOS PROFA;MOGI MIRIM;SERRA NEGRA;5.44;4.11;
17681;35017681;ELVIRA SANTOS DE OLIVEIRA DONA;MOGI MIRIM;ITAPIRA;;3.51;2.61
17693;35017693;LOURENCO FRANCO DE OLIVEIRA;MOGI MIRIM;SERRA NEGRA;6.77;;
17700;35017700;CELSO HENRIQUE TOZZI PROFESSOR;CAMPINAS LESTE;JAGUARIUNA;;;4.03
17711;35017711;JOSEPHINA GALVAO DE FRANCA ANDREUCCI PROFESSORA;BRAGANCA PAULISTA;SOCORRO;5.14;4.46;3.09
17735;35017735;NARCISO PIERONI;BRAGANCA PAULISTA;SOCORRO;;3.37;2.40
17759;35017759;JOSE FRANCO CRAVEIRO;BRAGANCA PAULISTA;SOCORRO;;4.33;3.55
17760;35017760;CASPER LIBERO;BRAGANCA PAULISTA;BRAGANCA PAULISTA;;3.82;2.48
17772;35017772;PAULO SILVA PROFESSOR;BRAGANCA PAULISTA;BRAGANCA PAULISTA;;4.17;3.48
17784;35017784;JOSE MAURICIO DA ROCHA DOM;BRAGANCA PAULISTA;BRAGANCA PAULISTA;;3.79;2.91
17796;35017796;JOSE TAVARES PROFESSOR;BRAGANCA PAULISTA;TUIUTI;;;3.21
17802;35017802;ADELIO FERRAZ DE CASTRO;BRAGANCA PAULISTA;VARGEM;;;2.60
17814;35017814;JOAO ERNESTO FIGUEIREDO CORONEL;BRAGANCA PAULISTA;JOANOPOLIS;;;3.52
17838;35017838;JOAO APOCALIPSE PROFESSOR;BRAGANCA PAULISTA;PEDRA BELA;;;3.34
17848;35017848;FRANCISCO DEROSA;BRAGANCA PAULISTA;NAZARE PAULISTA;;3.09;2.49
17851;35017851;JOAO DE MORAES GOES;BRAGANCA PAULISTA;PIRACAIA;;3.60;3.13
17875;35017875;ESTANISLAU AUGUSTO PROFESSOR;BRAGANCA PAULISTA;PINHALZINHO;;;2.89
17887;35017887;MARIA DO CARMO BARBOSA PROFESSORA;BRAGANCA PAULISTA;ATIBAIA;;4.16;1.99
17899;35017899;MATEUS NUNES DE SIQUEIRA PADRE;BRAGANCA PAULISTA;ATIBAIA;;2.86;2.08
17905;35017905;JOSE SIQUEIRA BUENO;BRAGANCA PAULISTA;PIRACAIA;;3.99;3.25
17917;35017917;GABRIEL DA SILVA PROFESSOR;BRAGANCA PAULISTA;ATIBAIA;;4.56;
17929;35017929;ZILAH BARRETO PACITTI PROFESSORA;BRAGANCA PAULISTA;ATIBAIA;;3.76;2.92
17942;35017942;FRANCISCO DAMANTE PROFESSOR;BRAGANCA PAULISTA;BOM JESUS DOS PERDOES;;3.64;2.81
17954;35017954;CIRCE TEIXEIRA MUSA E SILVA PROFESSORA;BRAGANCA PAULISTA;ATIBAIA;;4.00;2.58
17978;35017978;JOSE GUILHERME;BRAGANCA PAULISTA;BRAGANCA PAULISTA;;3.58;
17985;35017985;FRANCISCO DE ASSIS GONCALVES CORONEL;BRAGANCA PAULISTA;BRAGANCA PAULISTA;;3.88;
17991;35017991;ALCINDO BUENO DE ASSIS MINISTRO;BRAGANCA PAULISTA;BRAGANCA PAULISTA;;3.68;2.97
18004;35018004;FRANCISCO DE AGUIAR PECANHA;BRAGANCA PAULISTA;ATIBAIA;;;3.39
18036;35018036;ISMAEL AGUIAR LEME;BRAGANCA PAULISTA;BRAGANCA PAULISTA;;4.21;
18041;35018041;JUVENAL ALVIM MAJOR;BRAGANCA PAULISTA;ATIBAIA;;5.58;4.58
18053;35018053;JOSE ALVIM;BRAGANCA PAULISTA;ATIBAIA;;4.65;3.62
18065;35018065;CASTORINA CAVALHEIRO DONA;CAMPINAS LESTE;CAMPINAS;7.64;;
18077;35018077;FIRMINO GONCALVES SILVEIRA CORONEL;CAMPINAS LESTE;CAMPINAS;4.77;;
18089;35018089;ANTONIO ALVES ARANHA PROFESSOR;CAMPINAS OESTE;VALINHOS;;4.90;3.49
18107;35018107;FRANCISCO BARRETO LEME;CAMPINAS LESTE;CAMPINAS;4.71;3.91;2.94
18119;35018119;CECILIA PEREIRA PROFESSORA;CAMPINAS LESTE;CAMPINAS;4.98;2.59;1.37
18120;35018120;LUIS GONZAGA DE MOURA MONSENHOR;CAMPINAS LESTE;CAMPINAS;;3.00;3.09
18132;35018132;AMERICO BELLUOMINI PROFESSOR;CAMPINAS OESTE;VALINHOS;;;2.19
18144;35018144;CRISTIANO VOLKART;CAMPINAS LESTE;CAMPINAS;7.01;;
18156;35018156;AUREA ANUNCIACAO AMERICO DE GODOI PROFESSORA;CAMPINAS OESTE;CAMPINAS;5.53;3.71;3.05
18168;35018168;CYRO DE BARROS REZENDE PROFESSOR;CAMPINAS OESTE;VALINHOS;;4.58;3.33
18181;35018181;JOSE LEME DO PRADO PROFESSOR;CAMPINAS OESTE;VALINHOS;;4.51;3.26
18193;35018193;DORA MARIA MACIEL DE CASTRO KANSO PROFESSORA;CAMPINAS LESTE;CAMPINAS;5.84;3.09;
18200;35018200;ANA RITA GODINHO POUSA PROFESSORA;CAMPINAS LESTE;CAMPINAS;;3.14;2.07
18211;35018211;JOSE VILAGELIN NETO PROFESSOR;CAMPINAS LESTE;CAMPINAS;;3.67;3.12
18235;35018235;JOAO LOURENCO RODRIGUES PROFESSOR;CAMPINAS LESTE;CAMPINAS;;4.79;4.18
18247;35018247;FRANCISCO GLICERIO;CAMPINAS LESTE;CAMPINAS;;3.88;3.12
18259;35018259;LUIZ GALHARDO PROFESSOR;CAMPINAS OESTE;CAMPINAS;;4.73;3.37
18260;35018260;ADALBERTO PRADO E SILVA PROFESSOR;CAMPINAS LESTE;CAMPINAS;;3.33;2.92
18272;35018272;THOMAS ALVES DOUTOR;CAMPINAS LESTE;CAMPINAS;4.11;3.87;2.67
18284;35018284;ADALBERTO NASCIMENTO;CAMPINAS LESTE;CAMPINAS;;3.95;2.62
18296;35018296;JOAO NERY DOM;CAMPINAS LESTE;CAMPINAS;;4.48;3.30
18302;35018302;CARLOS GOMES;CAMPINAS LESTE;CAMPINAS;6.06;3.48;2.63
18314;35018314;ANIBAL DE FREITAS PROFESSOR;CAMPINAS LESTE;CAMPINAS;;4.39;3.55
18326;35018326;CULTO A CIENCIA;CAMPINAS LESTE;CAMPINAS;;;4.54
18338;35018338;GUSTAVO MARCONDES;CAMPINAS LESTE;CAMPINAS;;4.82;
18348;35018348;ARTUR SEGURADO;CAMPINAS LESTE;CAMPINAS;8.25;;
18351;35018351;OROSIMBO MAIA;CAMPINAS LESTE;CAMPINAS;;;2.84
18387;35018387;REGINA COUTINHO NOGUEIRA;CAMPINAS LESTE;CAMPINAS;6.50;;
18399;35018399;JOAQUIM FERREIRA LIMA PROFESSOR;CAMPINAS LESTE;CAMPINAS;5.19;3.32;2.21
18417;35018417;PATRIARCA DA INDEPENDENCIA;CAMPINAS OESTE;VINHEDO;;3.45;2.97
18429;35018429;BENEDITO SAMPAIO PROFESSOR;CAMPINAS LESTE;CAMPINAS;;4.24;2.87
18454;35018454;FABIO FARIA DE SYLLOS PROFESSOR;CAMPINAS LESTE;CAMPINAS;6.43;;
18478;35018478;MILTON DE TOLOSA PROFESSOR;CAMPINAS OESTE;CAMPINAS;5.39;3.19;3.35
18485;35018485;MARCELINO VELEZ PROFESSOR;CAMPINAS OESTE;CAMPINAS;7.52;;
18491;35018491;LAIS BERTONI PEREIRA PROFESSORA;CAMPINAS OESTE;CAMPINAS;;3.99;3.57
18508;35018508;LUIZ GONZAGA DA COSTA PROFESSOR;CAMPINAS OESTE;CAMPINAS;5.67;5.20;2.78
18512;35018512;MALLET MARECHAL;CAMPINAS LESTE;CAMPINAS;6.88;;
18521;35018521;GERALDO DE REZENDE BARAO;CAMPINAS LESTE;CAMPINAS;;3.87;2.22
18533;35018533;31 DE MARCO;CAMPINAS LESTE;CAMPINAS;4.95;2.58;2.02
18545;35018545;SOPHIA VELTER SALGADO PROFESSORA;CAMPINAS LESTE;CAMPINAS;7.71;;
18557;35018557;ARY MONTEIRO GALVAO PROFESSOR;CAMPINAS LESTE;CAMPINAS;6.40;;
18569;35018569;DJALMA OCTAVIANO PROFESSOR;CAMPINAS LESTE;CAMPINAS;;;4.67
18570;35018570;JOSE MARIA MATOSINHO;CAMPINAS LESTE;CAMPINAS;;4.04;2.77
18582;35018582;JOSE PEDRO DE OLIVEIRA;CAMPINAS LESTE;CAMPINAS;6.10;;
18594;35018594;JULIO MESQUITA;CAMPINAS OESTE;CAMPINAS;;3.92;3.60
18600;35018600;CELESTINO DE CAMPOS PROFESSOR;CAMPINAS OESTE;CAMPINAS;5.80;;
18612;35018612;CARLOS CRISTOVAM ZINK PROFESSOR;CAMPINAS OESTE;CAMPINAS;6.20;;
18624;35018624;JOAQUIM PEDROSO DE ALVARENGA;CAPIVARI;INDAIATUBA;;3.89;2.93
18659;35018659;GERALDO ENEAS DE CAMPOS PROFESSOR;CAPIVARI;INDAIATUBA;;4.79;
18661;35018661;HELENA DE CAMPOS CAMARGO PROFESSORA;CAPIVARI;INDAIATUBA;;4.73;3.56
18673;35018673;JOSE DE CAMARGO BARROS DOM;CAPIVARI;INDAIATUBA;;3.81;2.67
18697;35018697;JOSE DOS SANTOS PADRE;CAMPINAS OESTE;CAMPINAS;4.80;2.76;2.22
18703;35018703;ANDRE FORT PROFESSOR;CAMPINAS LESTE;CAMPINAS;6.17;;
18715;35018715;ANTONIO VILELA JUNIOR PROFESSOR;CAMPINAS LESTE;CAMPINAS;5.66;3.89;3.23
18727;35018727;ELIAS MASSUD DOUTOR;CAPIVARI;MONTE MOR;;3.49;2.93
18739;35018739;FRANCISCO DE ARAUJO MASCARENHAS DOUTOR;SUMARE;PAULINIA;;3.79;
18740;35018740;EMILIO JOSE SALIM MONSENHOR DOUTOR;CAMPINAS OESTE;CAMPINAS;7.59;;
18764;35018764;ATALIBA NOGUEIRA BARAO;CAMPINAS LESTE;CAMPINAS;;4.08;3.50
18776;35018776;CARLOS LENCASTRE PROFESSOR;CAMPINAS LESTE;CAMPINAS;;4.84;
18788;35018788;HERCY MORAES PROFESSORA;CAMPINAS LESTE;CAMPINAS;;3.83;2.08
18797;35018797;DOM BARRETO;CAMPINAS OESTE;CAMPINAS;6.45;3.84;2.82
18806;35018806;FELIPE CANTUSIO;CAMPINAS LESTE;CAMPINAS;;4.61;3.50
18818;35018818;CASTINAUTA DE BARROS MELLO E ALBUQUERQUE PROFESSORA;CAMPINAS LESTE;CAMPINAS;4.44;2.79;1.79
18824;35018824;MANOEL ALEXANDRE MARCONDES MACHADO DOUTOR;CAMPINAS OESTE;CAMPINAS;7.41;;
18831;35018831;JOAO GUMERCINDO GUIMARAES PROFESSOR;CAMPINAS OESTE;CAMPINAS;6.72;;
18843;35018843;HELIO CERQUEIRA LEITE PROFESSOR;CAPIVARI;INDAIATUBA;;5.30;4.30
18855;35018855;JOSE CARLOS NOGUEIRA REVERENDO PROFESSOR;CAMPINAS OESTE;CAMPINAS;;3.90;2.56
18867;35018867;FRANCISCO ALVARES PROFESSOR;CAMPINAS LESTE;CAMPINAS;;3.63;4.02
18879;35018879;VITOR MEIRELLES;CAMPINAS LESTE;CAMPINAS;;;4.12
18880;35018880;CARLOS FRANCISCO DE PAULA PROFESSOR;CAMPINAS LESTE;CAMPINAS;;3.90;2.46
18892;35018892;PORPHYRIO DA PAZ GENERAL;SUMARE;PAULINIA;;;3.00
18909;35018909;RANDOLFO MOREIRA FERNANDES;CAPIVARI;INDAIATUBA;;3.26;2.36
18910;35018910;NORBERTO DE SOUZA PINTO PROF DOUTOR;CAMPINAS OESTE;CAMPINAS;5.60;3.61;2.09
18922;35018922;GUIDO SEGALHO;CAMPINAS LESTE;CAMPINAS;;3.97;3.07
18934;35018934;CONSUELO FREIRE BRANDAO PROFESSORA;CAMPINAS LESTE;CAMPINAS;5.96;;
18946;35018946;MOYSES HORTA DE MACEDO PROFESSOR;SAO JOAO DA BOA VISTA;TAPIRATIBA;;3.05;2.19
18971;35018971;JOAO DE MOURA GUIMARAES PROFESSOR;SAO JOAO DA BOA VISTA;MOCOCA;5.71;3.79;2.13
18983;35018983;ANTONIO DIAS PASCHOAL PROFESSOR;SAO JOAO DA BOA VISTA;TAMBAU;;3.17;
19008;35019008;DONIZETTI TAVARES DE LIMA PADRE;SAO JOAO DA BOA VISTA;TAMBAU;;3.40;2.51
19012;35019012;JUSTINO GOMES DE CASTRO MAESTRO;SAO JOAO DA BOA VISTA;MOCOCA;;3.19;1.60
19021;35019021;BENJAMIN BASTOS;SAO JOAO DA BOA VISTA;VARGEM GRANDE DO SUL;;3.76;
19033;35019033;GILBERTO GIRALDI;SAO JOAO DA BOA VISTA;VARGEM GRANDE DO SUL;;3.58;2.79
19045;35019045;STELLA COUVERT RIBEIRO PROFESSORA;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;;3.49;3.22
19057;35019057;ALEXANDRE FLEMING;SAO JOAO DA BOA VISTA;VARGEM GRANDE DO SUL;;3.56;3.31
19070;35019070;HILDA SILVA PROFESSORA;SAO JOAO DA BOA VISTA;MOCOCA;7.07;;
19082;35019082;GENY GOMES DONA;SAO JOAO DA BOA VISTA;SAO SEBASTIAO DA GRAMA;;4.37;3.62
19100;35019100;JOAO GABRIEL RIBEIRO DOUTOR;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;6.78;4.83;
19112;35019112;CANDIDO RODRIGUES DOUTOR;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;;4.71;3.37
19124;35019124;RITA DE MACEDO BARRETO PROFESSORA;SAO JOAO DA BOA VISTA;ITOBI;;3.33;1.86
19136;35019136;JORGE LUIZ ABICHABKI PROFESSOR;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;4.80;;
19148;35019148;EUCLIDES DA CUNHA;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;;2.85;2.35
19159;35019159;TARQUINIO COBRA OLYNTHO;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;5.61;;
19161;35019161;BARAO DE MONTE SANTO;SAO JOAO DA BOA VISTA;MOCOCA;;3.73;2.64
19197;35019197;OSCAR VILLARES;SAO JOAO DA BOA VISTA;MOCOCA;;3.83;3.28
19203;35019203;BENEDITO FERRAZ BUENO PROFESSOR;SAO JOAO DA BOA VISTA;MOCOCA;5.19;3.04;1.91
19215;35019215;JOAO CID GODOY PROFESSOR;SAO JOAO DA BOA VISTA;MOCOCA;;3.86;1.65
19239;35019239;EDUARDO VICENTE NASSER DEPUTADO;SAO JOAO DA BOA VISTA;DIVINOLANDIA;;4.41;3.48
19240;35019240;OSCAR WALDOMIRO DE VASCONCELLOS PROFESSOR;SAO JOAO DA BOA VISTA;CACONDE;3.87;3.21;2.61
19252;35019252;LAURO DE ARAUJO;SAO JOAO DA BOA VISTA;CASA BRANCA;;4.44;3.06
19288;35019288;FRANCISCO EUGENIO DE LIMA;SAO JOAO DA BOA VISTA;CASA BRANCA;;2.82;1.69
19318;35019318;FERNANDO MAGALHAES PROFESSOR;SAO JOAO DA BOA VISTA;CACONDE;;3.88;2.85
19324;35019324;SYLVIA PORTUGAL GOUVEA DE SYLLOS PROFESSOR A;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;7.33;4.62;3.08
19343;35019343;FRANCISCO THOMAZ DE CARVALHO DOUTOR;SAO JOAO DA BOA VISTA;CASA BRANCA;;3.98;2.74
19379;35019379;FRANCISCO NAPOLEAO MAIA PROFESSOR;JUNDIAI;JUNDIAI;;4.85;3.35
19380;35019380;RAFAEL DE OLIVEIRA;JUNDIAI;JUNDIAI;;4.81;3.56
19409;35019409;CECILIA ROLEMBERG PORTO GUELLI PROFESSORA;JUNDIAI;JUNDIAI;;3.41;2.05
19422;35019422;JOSE FELICIANO DE OLIVEIRA PROFESSOR;JUNDIAI;JUNDIAI;;3.88;3.37
19434;35019434;JOSE SILVA JUNIOR PROFESSOR;JUNDIAI;JUNDIAI;;3.82;2.73
19446;35019446;PROFESSORA MARIA DE LOURDES DE FRANÇA SILVEIRA;JUNDIAI;JUNDIAI;;4.87;2.92
19458;35019458;JOAQUIM ANTONIO LADEIRA PROFESSOR;JUNDIAI;LOUVEIRA;;4.37;3.58
19461;35019461;OSWALDO CAMARGO PIRES PROFESSOR;JUNDIAI;VARZEA PAULISTA;;4.17;
19471;35019471;MARIA DE SAO LUIZ IRMA;JUNDIAI;VARZEA PAULISTA;;3.92;2.83
19483;35019483;TIBURCIO ESTEVAM DE SIQUEIRA;JUNDIAI;VARZEA PAULISTA;;4.49;3.79
19495;35019495;NATHANAEL SILVA PROFESSOR;JUNDIAI;VARZEA PAULISTA;;3.71;2.63
19501;35019501;GABRIEL PAULINO BUENO COUTO BISPO DOM;JUNDIAI;JUNDIAI;;3.79;3.19
19525;35019525;HONORIO HEINRICH BERNARD NACKE MONSENHOR;BRAGANCA PAULISTA;MORUNGABA;;3.95;3.24
19537;35019537;ANTENOR SOARES GANDRA DOUTOR;JUNDIAI;JUNDIAI;;;3.31
19549;35019549;ALBERTO FERREIRA REZENDE PROFESSOR;JUNDIAI;LOUVEIRA;;3.50;2.50
19550;35019550;ANA PINTO DUARTE PAES PROFESSORA;JUNDIAI;JUNDIAI;;3.79;3.88
19604;35019604;IVONY DE CAMARGO SALLES PROFESSORA;JUNDIAI;ITATIBA;;;3.14
19653;35019653;MANOEL JOSE DA FONSECA;JUNDIAI;ITUPEVA;;3.61;2.92
19665;35019665;JOSE POLLI;JUNDIAI;ITUPEVA;;4.07;2.67
19677;35019677;MANUEL EUCLIDES DE BRITO;JUNDIAI;ITATIBA;;;3.15
19690;35019690;BENEDITA ARRUDA PROFESSORA;JUNDIAI;JUNDIAI;;3.85;3.89
19719;35019719;SIQUEIRA DE MORAES CORONEL;JUNDIAI;JUNDIAI;;3.90;3.67
19720;35019720;CONDE DO PARNAIBA;JUNDIAI;JUNDIAI;;;4.60
19732;35019732;BARAO DE JUNDIAI;JUNDIAI;JUNDIAI;;3.77;3.32
19744;35019744;ADONIRO LADEIRA PROFESSOR;JUNDIAI;JUNDIAI;;3.86;3.34
19768;35019768;PAULO MENDES SILVA;JUNDIAI;JUNDIAI;;3.91;3.38
19781;35019781;RAFAEL MAURO DOUTOR;JUNDIAI;JUNDIAI;;4.24;3.46
19800;35019800;ELOY DE MIRANDA CHAVES DOUTOR;JUNDIAI;JUNDIAI;;3.65;3.70
19823;35019823;QUINZE DE OUTUBRO;JUNDIAI;CAMPO LIMPO PAULISTA;;;3.46
19835;35019835;ALBERTINA FORTAREL PROFESSORA;JUNDIAI;JUNDIAI;;4.79;3.41
19859;35019859;DIOGENES DUARTE PAES;JUNDIAI;JUNDIAI;;4.02;2.78
19860;35019860;JERONIMO DE CAMARGO;JUNDIAI;JARINU;;3.81;2.99
19872;35019872;GETULIO NOGUEIRA DE SA PROFESSOR;JUNDIAI;JUNDIAI;;3.91;3.35
19896;35019896;ELZA FACCA MARTINS BONILHA PROFESSORA;JUNDIAI;CAMPO LIMPO PAULISTA;;2.85;2.72
19902;35019902;CESAR LACERDA DE VERGUEIRO SENADOR;PIRASSUNUNGA;ARARAS;7.85;;
19914;35019914;CESARIO COIMBRA DOUTOR;PIRASSUNUNGA;ARARAS;;;3.13
19938;35019938;ANTONIO ALVES CAVALHEIRO;LIMEIRA;ENGENHEIRO COELHO;;3.30;2.73
19975;35019975;PAULO DE ALMEIDA NOGUEIRA DOUTOR;LIMEIRA;COSMOPOLIS;;;4.42
20000;35020000;CESARINO BORBA;LIMEIRA;IRACEMAPOLIS;;3.85;2.82
20011;35020011;BRASIL;LIMEIRA;LIMEIRA;;;2.91
20023;35020023;JOSE OMETTO;PIRASSUNUNGA;ARARAS;8.25;5.13;
20035;35020035;VICENTE FERREIRA DOS SANTOS PROFESSOR;PIRASSUNUNGA;ARARAS;;4.03;3.24
20047;35020047;YOLANDA SALLES CABIANCA PROFESSORA;PIRASSUNUNGA;ARARAS;;2.87;1.98
20059;35020059;FRANCISCO GRAZIANO;PIRASSUNUNGA;ARARAS;;4.48;4.19
20060;35020060;IGNACIO ZURITA JUNIOR;PIRASSUNUNGA;ARARAS;;4.20;
20072;35020072;JUSTINIANO WHITAKER DE OLIVEIRA CORONEL;PIRASSUNUNGA;ARARAS;6.30;;
20084;35020084;LIONS CLUBE;PIRASSUNUNGA;ARARAS;7.19;;
20096;35020096;ANTONIO PERCHES LORDELLO PROFESSOR;LIMEIRA;LIMEIRA;;5.31;3.99
20102;35020102;ANTONIO DE QUEIROZ PROFESSOR;LIMEIRA;LIMEIRA;7.63;4.61;4.26
20114;35020114;LAZARO DUARTE DO PATEO PROFESSOR;LIMEIRA;LIMEIRA;6.64;4.71;4.08
20126;35020126;LEOVEGILDO CHAGAS SANTOS PROFESSOR;LIMEIRA;LIMEIRA;;4.28;
20148;35020148;RUTH RAMOS CAPPI PROFESSORA;LIMEIRA;LIMEIRA;;3.92;2.70
20151;35020151;ELY DE ALMEIDA CAMPOS PROFESSOR;LIMEIRA;LIMEIRA;;2.96;2.48
20163;35020163;GABRIEL POZZI PROFESSOR;LIMEIRA;LIMEIRA;;;4.61
20229;35020229;CASTELLO BRANCO;LIMEIRA;LIMEIRA;;3.56;2.61
20230;35020230;JOSE AMARO RODRIGUES;LIMEIRA;ARTUR NOGUEIRA;;3.42;3.37
20254;35020254;ARMANI PADRE;MOGI MIRIM;MOGI GUACU;;;4.53
20278;35020278;LUIZ MARTINI;MOGI MIRIM;MOGI GUACU;;;2.17
20285;35020285;GERALDO SORG PROF;MOGI MIRIM;MOGI GUACU;;;2.81
20291;35020291;BENEDITA NAIR XAVIER VEDOVELLO PROFA;MOGI MIRIM;MOGI GUACU;;3.37;2.86
20308;35020308;VENANCIO CORONEL;MOGI MIRIM;MOGI MIRIM;;3.62;2.88
20321;35020321;FRANCISCO ANTONIO GONCALVES;MOGI MIRIM;MOGI GUACU;;5.11;
20333;35020333;CAMILO LELLIS PROFESSOR;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;4.38;;
20345;35020345;JUCA LOUREIRO PROFESSOR;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;;3.79;2.57
20357;35020357;LEME CARDEAL;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;;4.33;3.32
20382;35020382;AGENOR DE CARVALHO CAPITAO;MOGI MIRIM;ESTIVA GERBI;;;3.68
20394;35020394;JOAQUIM LEITE DE SOUZA CEL;MOGI MIRIM;MOGI GUACU;;;2.75
20400;35020400;ANALIA DE ALMEIDA BUENO PROFA;MOGI MIRIM;MOGI GUACU;;4.10;2.96
20412;35020412;ALMEIDA VERGUEIRO DR;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;6.97;;
20424;35020424;BENEDITO NASCIMENTO ROSAS PROFESSOR;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;;2.62;2.38
20436;35020436;BATISTA NOVAIS CORONEL;SAO JOAO DA BOA VISTA;ESPIRITO SANTO DO PINHAL;;3.90;2.77
20448;35020448;TIMOTHEO SILVA PROFESSOR;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;;4.06;3.26
20459;35020459;JOAO URIAS DA SILVA CAPITAO;SAO JOAO DA BOA VISTA;AGUAS DA PRATA;;4.74;
20485;35020485;ORESTES LADEIRA PE;MOGI MIRIM;CONCHAL;;4.04;3.14
20515;35020515;JOSE THEODORO DE MORAES;SAO JOAO DA BOA VISTA;AGUAI;;2.90;3.09
20527;35020527;GERALDO LOURENCO PADRE;SAO JOAO DA BOA VISTA;AGUAI;;3.37;2.33
20539;35020539;OSCAR RODRIGUES ALVES DR;MOGI MIRIM;MOGI MIRIM;;;4.70
20540;35020540;JOSUE SILVEIRA DE MATTOS PADRE;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;;2.64;2.12
20552;35020552;SANTO ANTONIO;MOGI MIRIM;SANTO ANTONIO DE POSSE;;;2.87
20588;35020588;JOAQUIM JOSE CORONEL;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;;3.48;2.63
20618;35020618;ERNANI CALBUCCI PROF;MOGI MIRIM;MOGI MIRIM;;3.11;2.64
20624;35020624;VALERIO STRANG PROF;MOGI MIRIM;MOGI MIRIM;;3.49;2.03
20631;35020631;NORA MONSENHOR;MOGI MIRIM;MOGI MIRIM;;3.30;2.90
20655;35020655;ARISTIDES GURJAO PROF;MOGI MIRIM;MOGI MIRIM;;3.86;2.30
