CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MÉDIO
12;35000012;AYRES DE MOURA PROFESSOR                                    ;NORTE 1;SAO PAULO;;2,62;2,56
24;35000024;GAVIAO PEIXOTO BRIGADEIRO                                   ;NORTE 1;SAO PAULO;;2,61;1,41
36;35000036;JOAO SOLIMEO                                                ;NORTE 1;SAO PAULO;;3,16;1,55
48;35000048;WALFREDO ARANTES CALDAS PROFESSOR                           ;NORTE 1;SAO PAULO;;2,04;1,41
59;35000059;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR                      ;NORTE 1;SAO PAULO;;2,80;1,71
61;35000061;SUZANA DE CAMPOS DONA                                       ;NORTE 1;SAO PAULO;3,82;;
73;35000073;JULIO DE FARIA E SOUZA PROFESSOR                            ;NORTE 1;SAO PAULO;4,11;;
85;35000085;JULIO CESAR DE OLIVEIRA PROFESSOR                           ;NORTE 1;SAO PAULO;3,93;;
97;35000097;RENATO DE ARRUDA PENTEADO PROFESSOR                         ;NORTE 1;SAO PAULO;;2,56;1,96
103;35000103;JOAO BOEMER JARDIM PROFESSOR                                ;NORTE 1;SAO PAULO;4,89;;
115;35000115;FRANCISCO FARIA NETO PROFESSOR                              ;NORTE 1;SAO PAULO;3,56;;
127;35000127;JOSE ALTENFELDER SILVA PROFESSOR                            ;NORTE 1;SAO PAULO;4,37;;
139;35000139;MARIANO DE OLIVEIRA PROFESSOR                               ;NORTE 1;SAO PAULO;;2,45;1,46
140;35000140;SILVIO XAVIER ANTUNES PROFESSOR                             ;NORTE 1;SAO PAULO;;2,19;1,64
152;35000152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR                        ;NORTE 1;SAO PAULO;4,67;;
164;35000164;PIO TELLES PEIXOTO PROFESSOR                                ;NORTE 1;SAO PAULO;;2,83;1,66
176;35000176;ZENAIDE VILALVA DE ARAUJO PROFESSORA                        ;NORTE 1;SAO PAULO;;2,06;1,10
188;35000188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR            ;NORTE 1;SAO PAULO;;3,14;1,99
197;35000197;AGENOR COUTO DE MAGALHAES DOUTOR                            ;NORTE 1;SAO PAULO;;2,77;1,47
