CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MÉDIO
12;35000012;AYRES DE MOURA PROFESSOR                                    ;NORTE 1;SAO PAULO;;3,29;
24;35000024;GAVIAO PEIXOTO BRIGADEIRO                                   ;NORTE 1;SAO PAULO;;1,76;1,50
36;35000036;JOAO SOLIMEO                                                ;NORTE 1;SAO PAULO;;2,58;1,88
48;35000048;WALFREDO ARANTES CALDAS PROFESSOR                           ;NORTE 1;SAO PAULO;;2,26;1,32
59;35000059;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR                      ;NORTE 1;SAO PAULO;;;1,45
61;35000061;SUZANA DE CAMPOS DONA                                       ;NORTE 1;SAO PAULO;3,93;;
73;35000073;JULIO DE FARIA E SOUZA PROFESSOR                            ;NORTE 1;SAO PAULO;4,38;;
85;35000085;JULIO CESAR DE OLIVEIRA PROFESSOR                           ;NORTE 1;SAO PAULO;5,64;;
97;35000097;RENATO DE ARRUDA PENTEADO PROFESSOR                         ;NORTE 1;SAO PAULO;;1,39;0,91
103;35000103;JOAO BOEMER JARDIM PROFESSOR                                ;NORTE 1;SAO PAULO;4,34;;
115;35000115;FRANCISCO FARIA NETO PROFESSOR                              ;NORTE 1;SAO PAULO;3,73;;
127;35000127;JOSE ALTENFELDER SILVA PROFESSOR                            ;NORTE 1;SAO PAULO;5,02;;
139;35000139;MARIANO DE OLIVEIRA PROFESSOR                               ;NORTE 1;SAO PAULO;;2,86;1,79
140;35000140;SILVIO XAVIER ANTUNES PROFESSOR                             ;NORTE 1;SAO PAULO;;2,68;1,86
152;35000152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR                        ;NORTE 1;SAO PAULO;6,08;;
164;35000164;PIO TELLES PEIXOTO PROFESSOR                                ;NORTE 1;SAO PAULO;;2,82;1,73
176;35000176;ZENAIDE VILALVA DE ARAUJO PROFESSORA                        ;NORTE 1;SAO PAULO;;2,77;1,72
