CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;Anos Iniciais;Anos Finais;Ensino Médio
37285;35037285;JOAO CARLOS GOMES CARDIM PROF                               ;DIADEMA;DIADEMA;;2,41;1,56
37291;35037291;ARIOVALDO PUPO AMORIM PROFESSOR                             ;MAUA;MAUA;3,60;1,81;
37308;35037308;FLORISBELLA DE CAMPOS WERNECK DONA                          ;MAUA;MAUA;3,73;;
37312;35037312;OLAVO HANSEN                                                ;MAUA;MAUA;;2,48;1,98
37321;35037321;MARTA TERESINHA ROSA PROFESSORA                             ;MAUA;MAUA;;2,60;1,26
37333;35037333;DUQUE DE CAXIAS                                             ;LESTE 5;SAO PAULO;3,44;;
37345;35037345;TIDE SETUBAL                                                ;LESTE 1;SAO PAULO;;2,45;1,46
37357;35037357;HENRIQUE SMITH BAYMA DR                                     ;LESTE 2;SAO PAULO;2,72;2,14;1,18
37369;35037369;CESAR MARENGO                                               ;LESTE 5;SAO PAULO;3,70;;
37370;35037370;FRANCISCO DA COSTA GUEDES                                   ;LESTE 5;SAO PAULO;;2,58;1,88
37382;35037382;ELZA SARAIVA MONTEIRO PROFA                                 ;NORTE 2;SAO PAULO;2,85;2,33;1,48
37394;35037394;FRANCISCO JOAO DE AZEVEDO PADRE                             ;SUL 3;SAO PAULO;3,96;;
37400;35037400;OSWALD DE ANDRADE                                           ;SUL 2;SAO PAULO;3,75;;
37412;35037412;VICENTE DE PAULO DALE COUTINHO GAL EXE                      ;SUL 3;SAO PAULO;3,38;;
37424;35037424;LOURIVAL GOMES MACHADO PROFESSOR                            ;CENTRO OESTE;SAO PAULO;;2,31;1,33
37436;35037436;ALMEIDA JUNIOR PROFESSOR                                    ;CENTRO OESTE;SAO PAULO;;2,02;1,43
37448;35037448;LAERTE RAMOS DE CARVALHO PROF DR                            ;SUL 3;SAO PAULO;;3,63;2,84
37459;35037459;LUIZ SIMIONI SOBRINHO PROFESSOR                             ;SUL 1;SAO PAULO;;2,56;1,64
37461;35037461;MESSIAS FREIRE PROFESSOR                                    ;SUL 1;SAO PAULO;2,48;1,67;0,83
37473;35037473;SAMUEL MORSE PROFESSOR                                      ;SUL 2;SAO PAULO;2,85;1,90;1,20
37485;35037485;AMADEU DE ANGELIS PROF                                      ;JACAREI;ARUJA;4,68;;
37497;35037497;BENEDITA DE OLIVEIRA ALE PROFESSORA                         ;GUARULHOS NORTE;GUARULHOS;4,63;2,82;
37503;35037503;FLAVIO XAVIER ARANTES PROFESSOR                             ;GUARULHOS NORTE;GUARULHOS;3,16;2,20;
37515;35037515;FIORAVANTE IERVOLINO                                        ;GUARULHOS NORTE;GUARULHOS;4,30;;
37540;35037540;JOAO MARTINS                                                ;TABOAO DA SERRA;EMBU;2,83;1,83;1,48
37552;35037552;CARLOS KOCH DOUTOR                                          ;TABOAO DA SERRA;EMBU;;2,59;2,37
37564;35037564;BENEDITA DE REZENDE PROFA                                   ;ITU;SALTO;6,52;;
37576;35037576;ANTONIO LUIZ BARREIROS                                      ;SAO VICENTE;SAO VICENTE;4,68;2,73;1,58
37588;35037588;CANDIDO DE OLIVEIRA PROF                                    ;SUL 3;SAO PAULO;5,21;;
37597;35037597;ALCIDES DA COSTA VIDIGAL                                    ;CENTRO OESTE;SAO PAULO;5,65;;
37606;35037606;HOMERO DOS SANTOS FORTE PROFESSOR                           ;SUL 1;SAO PAULO;4,22;;
37618;35037618;ALVARO DE SOUZA LIMA DOUTOR                                 ;CENTRO SUL;SAO PAULO;3,06;1,85;0,80
37624;35037624;CAFE FILHO PRESIDENTE                                       ;SUL 2;SAO PAULO;2,84;1,82;1,05
37631;35037631;JOCILA PEREIRA GUIMARAES PROFESSORA                         ;GUARULHOS SUL;GUARULHOS;5,48;;
37643;35037643;ANTONIO CARLOS FERREIRA NOBRE PROFESSOR                     ;NORTE 1;SAO PAULO;;3,01;
37655;35037655;UBALDO COSTA LEITE DOUTOR                                   ;NORTE 1;SAO PAULO;;2,17;1,51
37667;35037667;PAULO NOGUEIRA FILHO                                        ;NORTE 1;SAO PAULO;4,49;;
37679;35037679;EDGARD PIMENTEL REZENDE PROFESSOR                           ;NORTE 1;SAO PAULO;;2,24;1,85
37680;35037680;CRISPIM DE OLIVEIRA PROFESSOR                               ;NORTE 1;SAO PAULO;3,68;;
37692;35037692;ANA SIQUEIRA DA SILVA                                       ;NORTE 1;SAO PAULO;;2,54;1,28
37709;35037709;CARLOS FREDERICO WERNECK LACERDA JORNALISTA                 ;NORTE 1;SAO PAULO;;1,88;1,05
37710;35037710;MILTON DA SILVA RODRIGUES PROFESSOR                         ;NORTE 1;SAO PAULO;;2,25;1,95
37722;35037722;CACILDA BECKER                                              ;NORTE 1;SAO PAULO;3,82;;
