CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MÉDIO
12;35000012;AYRES DE MOURA PROFESSOR;NORTE 1;SAO PAULO;;4,35;
24;35000024;GAVIAO PEIXOTO BRIGADEIRO;NORTE 1;SAO PAULO;5,02;2,52;1,38
36;35000036;JOAO SOLIMEO;NORTE 1;SAO PAULO;;2,82;1,80
48;35000048;WALFREDO ARANTES CALDAS PROFESSOR;NORTE 1;SAO PAULO;;;1,75
59;35000059;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;NORTE 1;SAO PAULO;;;1,48
61;35000061;SUZANA DE CAMPOS DONA;NORTE 1;SAO PAULO;5,64;;
73;35000073;JULIO DE FARIA E SOUZA PROFESSOR;NORTE 1;SAO PAULO;5,62;;
85;35000085;JULIO CESAR DE OLIVEIRA PROFESSOR;NORTE 1;SAO PAULO;5,99;;
97;35000097;RENATO DE ARRUDA PENTEADO PROFESSOR;NORTE 1;SAO PAULO;;2,61;1,86
103;35000103;JOAO BOEMER JARDIM PROFESSOR;NORTE 1;SAO PAULO;4,95;;
115;35000115;FRANCISCO FARIA NETO PROFESSOR;NORTE 1;SAO PAULO;4,49;;
127;35000127;JOSE ALTENFELDER SILVA PROFESSOR;NORTE 1;SAO PAULO;5,85;;
139;35000139;MARIANO DE OLIVEIRA PROFESSOR;NORTE 1;SAO PAULO;;3,47;2,96
140;35000140;SILVIO XAVIER ANTUNES PROFESSOR;NORTE 1;SAO PAULO;;3,16;2,04
152;35000152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;NORTE 1;SAO PAULO;5,36;;
164;35000164;PIO TELLES PEIXOTO PROFESSOR;NORTE 1;SAO PAULO;;2,77;1,70
176;35000176;ZENAIDE VILALVA DE ARAUJO PROFESSORA;NORTE 1;SAO PAULO;;2,77;2,72
188;35000188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;NORTE 1;SAO PAULO;;3,12;2,58
197;35000197;AGENOR COUTO DE MAGALHAES DOUTOR;NORTE 1;SAO PAULO;;2,59;2,60
206;35000206;ALIPIO DE BARROS PROFESSOR;NORTE 1;SAO PAULO;5,36;;
218;35000218;ANTONIO FRANCISCO REDONDO PROFESSOR;NORTE 1;SAO PAULO;;;2,05
224;35000224;CANDIDO GONCALVES GOMIDE PROFESSOR;NORTE 1;SAO PAULO;;2,50;1,81
231;35000231;CHIQUINHA RODRIGUES;NORTE 1;SAO PAULO;5,26;;
243;35000243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;NORTE 1;SAO PAULO;5,36;;
255;35000255;CLODOMIRO CARNEIRO;NORTE 1;SAO PAULO;;2,99;1,95
267;35000267;ERMANO MARCHETTI;NORTE 1;SAO PAULO;;3,26;2,91
279;35000279;GALDINO LOPES CHAGAS PROFESSOR;NORTE 1;SAO PAULO;4,90;;
280;35000280;HUMBERTO DE SOUZA MELLO GENERAL;NORTE 1;SAO PAULO;;3,08;1,68
292;35000292;DALILA DE ANDRADE COSTA PROFESSORA;NORTE 1;SAO PAULO;3,59;;
309;35000309;BENEDITO TOLOSA PROFESSOR;CENTRO;SAO PAULO;5,45;3,17;2,37
310;35000310;ARY BARROSO;CENTRO;SAO PAULO;4,49;;
322;35000322;PEDRO MONTEIRO DO AMARAL CAPITAO;CENTRO;SAO PAULO;;2,92;2,93
334;35000334;MANUEL DA NOBREGA PADRE;CENTRO;SAO PAULO;;3,48;2,67
346;35000346;MANOEL DA NOBREGA PADRE;NORTE 1;SAO PAULO;6,32;;
358;35000358;MATILDE MACEDO SOARES;CENTRO;SAO PAULO;5,21;2,70;
361;35000361;PASQUALE PECCICACCO;NORTE 1;SAO PAULO;5,77;;
371;35000371;ANTONIO JOSE LEITE PROF;NORTE 2;SAO PAULO;;3,21;2,34
383;35000383;ANTOINE DE SAINT EXUPERY;CENTRO;SAO PAULO;;3,28;2,32
395;35000395;JOAQUIM LUIZ DE BRITO PROFESSOR;NORTE 1;SAO PAULO;;2,63;1,74
401;35000401;MARQUES DE TAMANDARE ALMIRANTE ;NORTE 1;SAO PAULO;;2,48;1,57
413;35000413;JOAQUIM SILVADO DOUTOR;NORTE 1;SAO PAULO;;2,96;2,10
425;35000425;REPUBLICA DO CHILE;NORTE 2;SAO PAULO;6,31;;
437;35000437;ANGELINA MADUREIRA PROFESSORA;CENTRO;SAO PAULO;5,57;;
449;35000449;TAUNAY VISCONDE DE;CENTRO;SAO PAULO;6,91;;
450;35000450;AUGUSTO RIBEIRO DE CARVALHO PROFESSOR;NORTE 1;SAO PAULO;;3,26;2,10
462;35000462;AUGUSTO MEIRELLES REIS FILHO PROFESSOR;CENTRO;SAO PAULO;;2,82;2,02
474;35000474;MATHIAS AIRES;NORTE 1;SAO PAULO;5,72;;
498;35000498;LUIZ GONZAGA RIGHINI PROFESSOR;CENTRO;SAO PAULO;;2,86;1,56
504;35000504;MARIO TEIXEIRA MARIANO PROFESSOR;CENTRO;SAO PAULO;6,24;;
516;35000516;JOSE CARLOS DIAS PROFESSOR;CENTRO;SAO PAULO;5,72;;
528;35000528;COLOMBO DE ALMEIDA PROFESSOR;CENTRO;SAO PAULO;;2,90;1,50
536;35000536;TARCISIO ALVARES LOBO;CENTRO;SAO PAULO;;3,10;1,66
541;35000541;JOAQUIM NABUCO;CENTRO;SAO PAULO;6,20;;
553;35000553;JACOMO STAVALE PROFESSOR;NORTE 1;SAO PAULO;;3,74;2,69
565;35000565;NOSSA SENHORA DO RETIRO;NORTE 1;SAO PAULO;4,56;;
577;35000577;DULCE FERREIRA BOARIN PROFESSORA;CENTRO;SAO PAULO;;3,55;3,35
589;35000589;PLINIO DAMASCO PENNA PROFESSOR;NORTE 1;SAO PAULO;;4,39;3,77
590;35000590;PAULO SETUBAL;CENTRO;SAO PAULO;7,24;;
607;35000607;TITO PRATES DA FONSECA;NORTE 2;SAO PAULO;;3,49;1,91
619;35000619;REGENTE FEIJO;NORTE 1;SAO PAULO;5,90;;
620;35000620;ANTONIO EMILIO SOUZA PENNA PROFESSOR;NORTE 1;SAO PAULO;;2,99;2,82
632;35000632;AUGUSTO DE MACEDO COSTA DOUTOR;NORTE 1;SAO PAULO;5,61;;
644;35000644;PIO XII;NORTE 1;SAO PAULO;6,08;;
656;35000656;FRONTINO GUIMARAES;CENTRO;SAO PAULO;;4,54;
668;35000668;ROMULO PERO PROFESSOR;CENTRO;SAO PAULO;;4,15;2,95
673;35000673;PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR;LESTE 5;SAO PAULO;;3,02;2,32
681;35000681;TOLEDO BARBOSA;CENTRO;SAO PAULO;5,66;3,31;
693;35000693;RITA BICUDO PEREIRA PROFA;NORTE 2;SAO PAULO;4,98;2,26;1,86
700;35000700;HORACIO LAFER MINISTRO;LESTE 5;SAO PAULO;4,86;;
711;35000711;NARBAL FONTES PROFESSORA;CENTRO;SAO PAULO;;4,03;2,83
723;35000723;OCTAVIO MENDES DOUTOR;CENTRO;SAO PAULO;;3,43;2,55
735;35000735;PAUL HUGON PROF;NORTE 2;SAO PAULO;;3,37;2,26
747;35000747;MARIA MONTESSORI;LESTE 5;SAO PAULO;;2,98;2,21
759;35000759;FLORINDA CARDOSO PROFESSORA;LESTE 5;SAO PAULO;5,69;;
760;35000760;AFRANIO PEIXOTO;CENTRO;SAO PAULO;;3,46;2,44
772;35000772;VISCONDE DE INHAUMA ALMIRANTE;NORTE 2;SAO PAULO;5,92;;
784;35000784;ANESIA SINCORA PROFESSORA;CENTRO;SAO PAULO;4,62;3,33;
796;35000796;HEROIS DA FEB;LESTE 5;SAO PAULO;;2,82;2,25
802;35000802;IMPERATRIZ LEOPOLDINA;LESTE 5;SAO PAULO;;2,91;2,39
814;35000814;RAQUEL ASSIS BARREIROS PROFA;NORTE 2;SAO PAULO;;1,99;1,70
838;35000838;JOAO VIEIRA DE ALMEIDA;LESTE 5;SAO PAULO;;2,98;2,32
848;35000848;JOAQUIM LEME DO PRADO PROFESSOR;CENTRO;SAO PAULO;;4,72;2,90
851;35000851;JULIO MAIA;LESTE 5;SAO PAULO;6,21;;
863;35000863;JOSE MARCELINO DA FONSECA MAJOR;NORTE 2;SAO PAULO;7,29;;
875;35000875;CASTRO ALVES;NORTE 2;SAO PAULO;;3,30;2,19
899;35000899;PEDRO COSTA DEPUTADO;CENTRO;SAO PAULO;6,28;;
905;35000905;CARLOS DE LAET PROF;NORTE 2;SAO PAULO;;4,59;2,18
917;35000917;ANTONIO LISBOA PROFESSOR;CENTRO;SAO PAULO;;3,53;2,84
929;35000929;ANTONIO VIEIRA PADRE;CENTRO;SAO PAULO;;;3,80
930;35000930;HOMEM DE MELLO BARAO;CENTRO;SAO PAULO;;3,95;2,48
942;35000942;BUENOS AIRES;CENTRO;SAO PAULO;;;3,68
966;35000966;GONCALVES DIAS;CENTRO;SAO PAULO;;2,78;2,18
978;35000978;CASIMIRO DE ABREU;CENTRO;SAO PAULO;;4,90;3,62
985;35000985;REPUBLICA DA BOLIVIA;CENTRO;SAO PAULO;6,36;;
1004;35001004;EURICO FIGUEIREDO PROF;NORTE 2;SAO PAULO;;3,36;2,93
1016;35001016;ALBERTO CARDOSO DE MELLO NETO DR;NORTE 2;SAO PAULO;;3,59;2,38
1028;35001028;VICTOR DOS SANTOS CUNHA PROF;NORTE 2;SAO PAULO;;2,17;1,77
1036;35001036;SEBASTIAO DE SOUZA BUENO PROF;NORTE 2;SAO PAULO;;3,26;3,02
1041;35001041;JOHANN GUTENBERG;NORTE 2;SAO PAULO;;3,19;2,05
1053;35001053;LUIZ AMARAL WAGNER PROF;NORTE 2;SAO PAULO;4,35;;
1065;35001065;DAVID EUGENIO DOS SANTOS PROF;NORTE 2;SAO PAULO;5,22;;
1077;35001077;JUDITH GUIMARAES DOS SANTOS PROFA;NORTE 2;SAO PAULO;6,31;;
1089;35001089;GABRIELA MISTRAL;NORTE 2;SAO PAULO;5,63;3,12;
1090;35001090;JOSE MARIA REYS PROF;NORTE 2;SAO PAULO;6,67;;
1119;35001119;EURIPEDES DE CASTRO;NORTE 2;SAO PAULO;4,90;;
1120;35001120;EXPEDICIONARIO BRASILEIRO;CENTRO;SAO PAULO;7,02;;
1132;35001132;PEDRO ALEXANDRINO;NORTE 2;SAO PAULO;;2,85;2,51
1144;35001144;JULIO PESTANA;NORTE 2;SAO PAULO;;2,79;1,55
1156;35001156;SILVA JARDIM;NORTE 2;SAO PAULO;;3,87;2,89
1168;35001168;ALFREDO INACIO TRINDADE;NORTE 2;SAO PAULO;;4,34;2,86
1173;35001173;ALBINO CESAR;NORTE 2;SAO PAULO;;3,65;2,45
1181;35001181;RAFAEL DE MORAES LIMA PROF;NORTE 2;SAO PAULO;5,58;;
1193;35001193;PHILOMENA BAYLAO PROFA;NORTE 2;SAO PAULO;5,22;3,14;2,41
1200;35001200;LAEL DE MOURA PRADO PROF;NORTE 2;SAO PAULO;6,12;;
1211;35001211;MIGUEL VIEIRA FERREIRA DR;NORTE 2;SAO PAULO;6,43;;
1223;35001223;MARIA PAULA MARCONDES DOMINGUES PROFA;NORTE 2;SAO PAULO;6,68;;
1235;35001235;CYRENE DE OLIVEIRA LAET DONA;NORTE 2;SAO PAULO;;2,92;2,01
1247;35001247;RUY BARBOSA CONSELHEIRO;NORTE 2;SAO PAULO;;3,51;2,84
1259;35001259;JOAO LIGABUE CONEGO;NORTE 2;SAO PAULO;;3,99;2,22
1272;35001272;ANGELO BORTOLO;NORTE 2;SAO PAULO;;2,48;1,81
1284;35001284;AMENAIDE BRAGA DE QUEIROZ PROFA;NORTE 2;SAO PAULO;;3,92;2,97
1296;35001296;CARMOSINA MONTEIRO VIANNA PROFA;NORTE 2;SAO PAULO;;2,66;2,52
1302;35001302;ARNALDO BARRETO;NORTE 2;SAO PAULO;;3,46;2,61
1314;35001314;CASSIO DA COSTA VIDIGAL;NORTE 2;SAO PAULO;5,36;;
1326;35001326;PEDRO DE MORAES VICTOR DR;NORTE 2;SAO PAULO;;1,92;1,58
1338;35001338;MARIA ANGELITA SAYAGO LAET PROFA;NORTE 2;SAO PAULO;5,72;;
1348;35001348;JOSE DO AMARAL MELLO PROF;NORTE 2;SAO PAULO;4,26;2,58;1,38
1351;35001351;ADEMAR HIROSHI SUDA PROF;NORTE 2;SAO PAULO;6,84;;
1363;35001363;SAO PAULO;CENTRO;SAO PAULO;;2,58;2,68
1375;35001375;LOUREIRO JUNIOR PROFESSOR;LESTE 5;SAO PAULO;;;2,83
1387;35001387;THEODORO DE MORAES PROFESSOR;LESTE 5;SAO PAULO;5,56;;
1399;35001399;PAULO MONTE SERRAT PROFESSOR;LESTE 5;SAO PAULO;6,26;;
1405;35001405;ROMAO PUIGARI;CENTRO;SAO PAULO;5,28;;
1417;35001417;ISAI LEIRNER;LESTE 5;SAO PAULO;;;3,31
1430;35001430;ANDRE OHL;LESTE 5;SAO PAULO;6,40;;
1442;35001442;ANDRE XAVIER GALLICHO PROFESSOR;LESTE 5;SAO PAULO;5,32;2,73;2,92
1454;35001454;ANTONIO FIRMINO DE PROENCA PROF;CENTRO;SAO PAULO;;3,01;2,22
1466;35001466;AMADEU AMARAL;LESTE 5;SAO PAULO;;3,24;2,55
1478;35001478;EDUARDO PRADO;CENTRO;SAO PAULO;4,37;4,09;
1485;35001485;GUERINO RASO;LESTE 5;SAO PAULO;5,55;;
1491;35001491;ANNA TEIXEIRA PRADO ZACHARIAS PROFESSORA;LESTE 5;SAO PAULO;;4,01;2,91
1508;35001508;ANTONIO DE QUEIROZ TELLES DOUTOR;LESTE 5;SAO PAULO;5,96;;
1512;35001512;ARMANDO ARAUJO;CENTRO SUL;SAO PAULO;5,70;4,02;
1521;35001521;PAULO LUIG FREI;CENTRO;SAO PAULO;5,77;3,01;2,01
1545;35001545;PANDIA CALOGERAS;CENTRO SUL;SAO PAULO;6,34;;
1557;35001557;BENEDITO MATARAZZO DEPUTADO;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;3,97;2,89
1569;35001569;OSWALDO CRUZ;CENTRO SUL;SAO PAULO;4,50;4,80;3,12
1570;35001570;ORESTES GUIMARAES;CENTRO;SAO PAULO;4,22;2,90;2,05
1582;35001582;DOMINGOS FAUSTINO SARMIENTO;LESTE 5;SAO PAULO;5,05;;
1600;35001600;PLINIO BARRETO;LESTE 5;SAO PAULO;;3,84;2,94
1624;35001624;WOLNY CARVALHO RAMOS PROFESSOR;LESTE 5;SAO PAULO;;3,53;3,45
1659;35001659;ANCHIETA PADRE;CENTRO;SAO PAULO;;3,06;1,96
1661;35001661;MMDC;CENTRO SUL;SAO PAULO;;3,87;3,52
1673;35001673;MARIA DA GLORIA COSTA E SILVA PROFESSORA;LESTE 5;SAO PAULO;;2,33;1,86
