NOMEDEP;DE;MUN;DISTR;COD_ESC;NOMESC;SITUACAO;TIPOESC;ENDESC;NUMESC;COMPLEND;CEP;BAIESC;ZONA;DS_LONGITUDE;DS_LATITUDE;CODVINC
ESTADUAL - SE;DIADEMA;DIADEMA;DIADEMA;910247;ERASMO BATISTA SILVA DE ALMEIDA;Ativa;EE;RUA JOSE CLEMENTE PEREIRA;21;ANTIGO JARDIM MAMBAE;9961050;CASA GRANDE;URBANA;-46,5943985;-23,69639969;
ESTADUAL - SE;LESTE 2;SAO PAULO;VILA CURUCA;910259;MARIA VERA LOMBARDI SIQUEIRA PROFA;Ativa;EE;JOSE ALEXANDRE MACHADO;619;RUA;8160460;JARDIM SILVA TELES;URBANA;-46,40871048;-23,50052071;
ESTADUAL - SE;LESTE 2;SAO PAULO;VILA CURUCA;910260;JOSE BORGES ANDRADE;Ativa;EE;RAINHA MARGARIDA;20;;8030660;VILA CURUCA;URBANA;-46,41960144;-23,50900078;
ESTADUAL - SE;LESTE 2;SAO PAULO;VILA CURUCA;910272;MARIA REGINA MACHADO DE CASTRO GUIMARAES PROFA;Ativa;EE;NOITIBO;80;RUA;8031150;VILA NOVA CURUCA;URBANA;-46,41925049;-23,5182209;
ESTADUAL - SE;LESTE 2;SAO PAULO;ITAIM PAULISTA;910284;SERGIO PAULO MUNIZ PIMENTA CAPITAO;Ativa;EE;GASPAR DE GODOI MOREIRA;19;RUA;8121590;JARDIM VIRGINIA;URBANA;-46,38669968;-23,49413681;
ESTADUAL - SE;NORTE 1;SAO PAULO;JARAGUA;910296;FRIEDRICH VON VOITH;Ativa;EE;ANTONIO DE CABEZON;398;RUA;2996000;PARQUE NACOES UNIDAS;URBANA;-46,73694992;-23,44664955;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;910302;HELIOS HEBER LINO PROFESSOR;Ativa;EE;MONTES PIRINEUS;31;RUA;2871080;JARDIM ONDINA;URBANA;-46,67309189;-23,46276093;
ESTADUAL - SE;SUL 1;SAO PAULO;CIDADE ADEMAR;910326;JOSE BAPTISTA RIOS CASTELLOES PROFESSOR;Ativa;EE;ITATA;195;PREDIO;4404080;VILA ERNA;URBANA;-46,65793991;-23,67000008;
ESTADUAL - SE;SUL 1;SAO PAULO;CIDADE ADEMAR;910338;WALDEMAR RODRIGUES DA SILVA PASTOR;Ativa;EE;JENNY LIND;20;RUA;4434280;JARDIM ORLY;URBANA;-46,66468811;-23,68485641;
ESTADUAL - SE;SUMARE;SUMARE;SUMARE;910351;BELGICA ALLEONI BORGES PROFESSORA;Ativa;EE;RUA MANOEL LUCIANO;34;RUA;13173130;JARDIM PRIMAVERA;URBANA;-47,27119827;-22,81200027;
