NOMEDEP;DE;MUN;DISTR;COD_ESC;NOMESC;SITUACAO;TIPOESC;ENDESC;NUMESC;COMPLEND;CEP;BAIESC;ZONA;DS_LONGITUDE;DS_LATITUDE;CODVINC
ESTADUAL - SE;NORTE 1;SAO PAULO;JAGUARA;12;AYRES DE MOURA PROFESSOR;Ativa;EE;RUA ARTUR ORLANDO;907;RUA;5118000;VILA JAGUARA;URBANA;-46,74909973;-23,5121994;
ESTADUAL - SE;NORTE 1;SAO PAULO;PERUS;24;GAVIAO PEIXOTO BRIGADEIRO;Ativa;EE;MOGEIRO;710;RUA;5208230;VILA PERUS;URBANA;-46,75939941;-23,40469933;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;36;JOAO SOLIMEO;Ativa;EE;DO SABAO;1497;ESTRADA;2806000;JARDIM MARISTELA;URBANA;-46,70082092;-23,48127937;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;48;WALFREDO ARANTES CALDAS PROFESSOR;Ativa;EE;DEPUTADO CANTIDIO SAMPAIO;1701;;2860001;VILA SOUZA;URBANA;-46,6795311;-23,46417999;
ESTADUAL - SE;NORTE 1;SAO PAULO;ANHANGUERA;59;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;Ativa;EE;RUA FRANCISCO GIRON;SN;ESTRADA;5267000;MORRO DOCE;URBANA;-46,79224851;-23,43794952;
ESTADUAL - SE;NORTE 1;SAO PAULO;PERUS;61;SUZANA DE CAMPOS DONA;Ativa;EE;ANTONIO MAIA;691;RUA;5204110;VILA PERUS;URBANA;-46,75506973;-23,40682983;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;73;JULIO DE FARIA E SOUZA PROFESSOR;Ativa;EE;POMPEU PEQUENO DE SOUZA BRASIL;89;RUA;2881100;VILA FRANCOS;URBANA;-46,67404543;-23,4676003;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;85;JULIO CESAR DE OLIVEIRA PROFESSOR;Ativa;EE;ALBERTO VEIGA;99;RUA;5172270;VILA PIRITUBA;URBANA;-46,7458992;-23,48139954;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;97;RENATO DE ARRUDA PENTEADO PROFESSOR;Ativa;EE;FLORIANO DA COSTA BARROSO;10;RUA;2855220;JARDIM CAROMBE;URBANA;-46,70204926;-23,45809937;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;103;JOAO BOEMER JARDIM PROFESSOR;Ativa;EE;CRISTOVAO SANTIAGO;50;RUA;2871040;JARDIM ONDINA;URBANA;-46,67359924;-23,46120071;
ESTADUAL - SE;NORTE 1;SAO PAULO;JARAGUA;115;FRANCISCO FARIA NETO PROFESSOR;Ativa;EE;SILVERIO DE CASTRO SOUSA;102;RUA;2982000;JARDIM SYDNEY;URBANA;-46,71620178;-23,45070076;
ESTADUAL - SE;NORTE 1;SAO PAULO;JAGUARA;127;JOSE ALTENFELDER SILVA PROFESSOR;Ativa;EE;CARLOS ALBERTO VANZOLINI;397;RUA;5103060;VILA DOS REMEDIOS;URBANA;-46,75196764;-23,51357366;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;139;MARIANO DE OLIVEIRA PROFESSOR;Ativa;EE;RUA ALMIRANTE ISAIAS DE NORONHA;13;RUA;2919100;VILA PEREIRA BARRETO;URBANA;-46,71562958;-23,49102974;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;140;SILVIO XAVIER ANTUNES PROFESSOR;Ativa;EE;JOSE DA SILVA MARTHA;150;RUA;2913100;PIQUERI;URBANA;-46,71319962;-23,50185966;
ESTADUAL - SE;NORTE 1;SAO PAULO;SAO DOMINGOS;152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;Ativa;EE;ITAQUIRAI;1;PRACA;5132110;VILA MANGALOT;URBANA;-46,74431992;-23,50489998;
ESTADUAL - SE;NORTE 1;SAO PAULO;JAGUARA;164;PIO TELLES PEIXOTO PROFESSOR;Ativa;EE;ARTUR ORLANDO;985;RUA;5118000;VILA JAGUARA;URBANA;-46,74881744;-23,51172829;
ESTADUAL - SE;NORTE 1;SAO PAULO;SAO DOMINGOS;176;ZENAIDE VILALVA DE ARAUJO PROFESSORA;Ativa;EE;BELO JARDIM;674;RUA;5159200;JARDIM MUTINGA;URBANA;-46,7517443;-23,4858315;
ESTADUAL - SE;NORTE 1;SAO PAULO;JAGUARA;188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;Ativa;EE;MUTINGA;5071;AVENIDA;5110000;JARDIM SANTO ELIAS;URBANA;-46,75820923;-23,50484085;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;197;AGENOR COUTO DE MAGALHAES DOUTOR;Ativa;EE;GUILHERME MANKEL;99;AVENIDA;5176000;VILA CLARICE;URBANA;-46,74649811;-23,47100067;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;206;ALIPIO DE BARROS PROFESSOR;Ativa;EE;AVENIDA COMENDADOR FEIZ ZARZUR;SN;AVENIDA;2942000;JARDIM CIDADE PIRITUBA;URBANA;-46,7188;-23,4796;
ESTADUAL - SE;NORTE 1;SAO PAULO;SAO DOMINGOS;218;ANTONIO FRANCISCO REDONDO PROFESSOR;Ativa;EE;EVANDRO DANTON FERREIRA GANDRA;148;RUA;5131100;VILA MANGALOT;URBANA;-46,74206161;-23,49681091;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;224;CANDIDO GONCALVES GOMIDE PROFESSOR;Ativa;EE;AVELINO ZANETTI;50;RUA;2945100;JARDIM CIDADE PIRITUBA;URBANA;-46,72731018;-23,48432922;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;231;CHIQUINHA RODRIGUES;Ativa;EE;CAIAPE;SN;RUA;2867000;VILA PENTEADO;URBANA;-46,68355179;-23,47125053;
ESTADUAL - SE;NORTE 1;SAO PAULO;JARAGUA;243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;Ativa;EE;JERIMANDUBA;561;AVENIDA;5181000;JARAGUA;URBANA;-46,74621559;-23,4551737;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;255;CLODOMIRO CARNEIRO;Ativa;EE;MANOEL DE SOUZA AZEVEDO;364;RUA;2809040;SITIO MORRO GRANDE;URBANA;-46,70299911;-23,47159958;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;267;ERMANO MARCHETTI;Ativa;EE;PEDRO MARIGLIANI;192;RUA;5141010;CHACARA INGLESA;URBANA;-46,729599;-23,49329948;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;279;GALDINO LOPES CHAGAS PROFESSOR;Ativa;EE;SABAO;1547;ESTRADA;2806000;JARDIM MARISTELA;URBANA;-46,69749832;-23,46829987;
ESTADUAL - SE;NORTE 1;SAO PAULO;JARAGUA;280;HUMBERTO DE SOUZA MELLO GENERAL;Ativa;EE;AVENIDA DEPUTADO CANTIDIO SAMPAIO;6803;AVENIDA;2860001;PARADA DE TAIPAS;URBANA;-46,717659;-23,43593025;
ESTADUAL - SE;NORTE 1;SAO PAULO;BRASILANDIA;292;DALILA DE ANDRADE COSTA PROFESSORA;Ativa;EE;ARROIO DO MEIO;SN;RUA;2878120;JARDIM VISTA ALEGRE;URBANA;-46,68560028;-23,4538002;
ESTADUAL - SE;CENTRO;SAO PAULO;CASA VERDE;309;BENEDITO TOLOSA PROFESSOR;Ativa;EE;PRACA DIRCEU DE LIMA;617;PRACA;2515050;CASA VERDE;URBANA;-46,65769958;-23,51063919;
ESTADUAL - SE;CENTRO;SAO PAULO;CASA VERDE;310;ARY BARROSO;Ativa;EE;RUA SANTA EUDOXIA;630;RUA;2533010;PARQUE PERUCHE;URBANA;-46,6555318;-23,4978625;
ESTADUAL - SE;CENTRO;SAO PAULO;CASA VERDE;322;PEDRO MONTEIRO DO AMARAL CAPITAO;Ativa;EE;RUA NURSIA;412;RUA;2524020;JARDIM SAO BENTO;URBANA;-46,65063095;-23,50268936;
ESTADUAL - SE;CENTRO;SAO PAULO;CASA VERDE;334;MANUEL DA NOBREGA PADRE;Ativa;EE;RUA SANTA PRISCA;122;RUA;2518010;JARDIM LARANJEIRAS;URBANA;-46,66328812;-23,50877953;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;346;MANOEL DA NOBREGA PADRE;Ativa;EE;ITABERABA;145;AVENIDA;2734000;NOSSA SENHORA DO O;URBANA;-46,69787979;-23,49990082;
ESTADUAL - SE;CENTRO;SAO PAULO;LIMAO;358;MATILDE MACEDO SOARES;Ativa;EE;JOSE SORIANO DE SOUSA;30;;2555050;CASA VERDE ALTA;URBANA;-46,66732025;-23,49567032;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;361;PASQUALE PECCICACCO;Ativa;EE;NAZARIO PAGANO;225;RUA;2961030;JARDIM MONJOLO;URBANA;-46,69765091;-23,49217987;
ESTADUAL - SE;NORTE 2;SAO PAULO;CACHOEIRINHA;371;ANTONIO JOSE LEITE PROF;Ativa;EE;DEZ DE MAIO;271;RUA;2615100;VILA AMELIA;URBANA;-46,65530014;-23,47050095;
ESTADUAL - SE;CENTRO;SAO PAULO;LIMAO;383;ANTOINE DE SAINT EXUPERY;Ativa;EE;RUA ANTONIO RIBEIRO DE MORAIS;184;RUA;2751000;VILA CARBONE;URBANA;-46,6813154;-23,4914963;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;395;JOAQUIM LUIZ DE BRITO PROFESSOR;Ativa;EE;RUA SANTA LUCIA FILIPPINI;65;RUA;2737100;ITABERABA;URBANA;-46,6907;-23,4886;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;401;MARQUES DE TAMANDARE ALMIRANTE;Ativa;EE;JACARECOPAIBA;33;RUA;2965170;VILA MARINA;URBANA;-46,70240021;-23,4843998;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;413;JOAQUIM SILVADO DOUTOR;Ativa;EE;RUA MONSENHOR MANOEL GOMES;306;RUA;2975120;VILA ZAT;URBANA;-46,70999908;-23,47990036;
ESTADUAL - SE;NORTE 2;SAO PAULO;CACHOEIRINHA;425;REPUBLICA DO CHILE;Ativa;EE;MARACAIA;204;RUA;2612020;VILA NOVA CACHOEIRINHA;URBANA;-46,66342163;-23,47013092;
ESTADUAL - SE;CENTRO;SAO PAULO;LIMAO;437;ANGELINA MADUREIRA PROFESSORA;Ativa;EE;RUA VICENTE FERREIRA LEITE;489;RUA;2723000;VILA SIQUEIRA;URBANA;-46,6806536;-23,4985927;
ESTADUAL - SE;CENTRO;SAO PAULO;LIMAO;449;TAUNAY VISCONDE DE;Ativa;EE;AVENIDA CELESTINO BOURROUL;304;AVENIDA;2710000;LIMAO;URBANA;-46,67290115;-23,51091957;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;450;AUGUSTO RIBEIRO DE CARVALHO PROFESSOR;Ativa;EE;RUA PROFESSOR JOAO MACHADO;511;RUA;2927000;NOSSA SENHORA DO O;URBANA;-46,70286942;-23,4980793;
ESTADUAL - SE;CENTRO;SAO PAULO;CASA VERDE;462;AUGUSTO MEIRELLES REIS FILHO PROFESSOR;Ativa;EE;RUA PADRE JOAO GUALBERTO;311;RUA;2537000;IMIRIM;URBANA;-46,65129089;-23,49152946;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;474;MATHIAS AIRES;Ativa;EE;MOINHO VELHO;355;RUA;2929000;MOINHO VELHO;URBANA;-46,707901;-23,49419975;
ESTADUAL - SE;CENTRO;SAO PAULO;LIMAO;498;LUIZ GONZAGA RIGHINI PROFESSOR;Ativa;EE;AVENIDA DEPUTADO EMILIO CARLOS;900;AVENIDA;2720100;LIMAO;URBANA;-46,67613983;-23,49702072;
ESTADUAL - SE;CENTRO;SAO PAULO;LIMAO;504;MARIO TEIXEIRA MARIANO PROFESSOR;Ativa;EE;RUA DOM ANTONIO DE ALMEIDA LUSTOSA;94;RUA;2756030;JARDIM PRIMAVERA ZONA NORTE;URBANA;-46,67782974;-23,48488045;
ESTADUAL - SE;CENTRO;SAO PAULO;CASA VERDE;516;JOSE CARLOS DIAS PROFESSOR;Ativa;EE;RUA VICHY;488;RUA;2522100;VILA BARUEL;URBANA;-46,66022873;-23,50438881;
ESTADUAL - SE;CENTRO;SAO PAULO;CASA VERDE;528;COLOMBO DE ALMEIDA PROFESSOR;Ativa;EE;RUA GRACIANO ALTIERI;114;RUA;2545060;CASA VERDE ALTA;URBANA;-46,66149902;-23,4939003;
ESTADUAL - SE;CENTRO;SAO PAULO;LIMAO;536;TARCISIO ALVARES LOBO;Ativa;EE;RUA ESTELA BORGES MORATO;500;RUA;2722000;VILA SIQUEIRA;URBANA;-46,68330002;-23,50270081;
ESTADUAL - SE;CENTRO;SAO PAULO;LIMAO;541;JOAQUIM NABUCO;Ativa;EE;RUA JOAQUIM AFONSO DE SOUZA;355;RUA;2543000;VILA CELESTE;URBANA;-46,66577911;-23,48856926;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;553;JACOMO STAVALE PROFESSOR;Ativa;EE;MANUEL MADRUGA;205;RUA;2960020;MOINHO VELHO;URBANA;-46,69970322;-23,49601555;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;565;NOSSA SENHORA DO RETIRO;Ativa;EE;RUA  DOUTOR  PEDRO MUSTRE PORTUGAL;265;RUA;2952080;VILA RENATO ZONA NORTE;URBANA;-46,71965027;-23,47281075;
ESTADUAL - SE;CENTRO;SAO PAULO;LIMAO;577;DULCE FERREIRA BOARIN PROFESSORA;Ativa;EE;RUA DOUTOR FLEURY SILVEIRA;295;RUA;2563010;VILA SANTA MARIA;URBANA;-46,67020035;-23,48973083;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;589;PLINIO DAMASCO PENNA PROFESSOR;Ativa;EE;RUA GENERAL ULHOA CINTRA;37;RUA;2759030;VILA BANCARIA MUNHOZ;URBANA;-46,68378067;-23,48321915;
ESTADUAL - SE;CENTRO;SAO PAULO;LIMAO;590;PAULO SETUBAL;Ativa;EE;AVENIDA DEPUTADO EMILIO CARLOS;1980;AVENIDA;2720200;LIMAO;URBANA;-46,67535019;-23,48938942;
ESTADUAL - SE;NORTE 2;SAO PAULO;CACHOEIRINHA;607;TITO PRATES DA FONSECA;Ativa;EE;MENDONCA JUNIOR;611;RUA;2610010;VILA DOS ANDRADES;URBANA;-46,66410065;-23,4769001;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;619;REGENTE FEIJO;Ativa;EE;ANTONIO DE COUROS;SN;RUA;2726000;VILA PALMEIRAS;URBANA;-46,6899;-23,4972;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;620;ANTONIO EMILIO SOUZA PENNA PROFESSOR;Ativa;EE;CAROLINA MARIA DO CARMO;30;RUA;2729080;VILA ALBERTINA;URBANA;-46,69260025;-23,50379944;
ESTADUAL - SE;NORTE 1;SAO PAULO;FREGUESIA DO O;632;AUGUSTO DE MACEDO COSTA DOUTOR;Ativa;EE;CONCEICAO DE JACAREI;8;RUA;2805140;VILA CRUZ DAS ALMAS;URBANA;-46,69689941;-23,48027992;
ESTADUAL - SE;NORTE 1;SAO PAULO;PIRITUBA;644;PIO XII;Ativa;EE;OTAVIO DOMINGUITO;50;RUA;2912040;PIQUERI;URBANA;-46,7094157;-23,5058535;
ESTADUAL - SE;CENTRO;SAO PAULO;SANTANA;656;FRONTINO GUIMARAES;Ativa;EE;RUA PAULO GONCALVES;55;RUA;2403020;SANTANA;URBANA;-46,62776947;-23,49644089;
ESTADUAL - SE;CENTRO;SAO PAULO;SANTANA;668;ROMULO PERO PROFESSOR;Ativa;EE;RUA COPACABANA;243;RUA;2461000;SANTA TERESINHA;URBANA;-46,63784027;-23,49398041;
ESTADUAL - SE;LESTE 5;SAO PAULO;VILA MARIA;673;PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR;Ativa;EE;ARARITAGUABA;1264;RUA;2122011;VILA MARIA;URBANA;-46,58198166;-23,51498985;
ESTADUAL - SE;CENTRO;SAO PAULO;VILA GUILHERME;681;TOLEDO BARBOSA;Ativa;EE;RUA MARIA CANDIDA;293;RUA;2071010;VILA GUILHERME;URBANA;-46,61178576;-23,50193135;
ESTADUAL - SE;NORTE 2;SAO PAULO;CACHOEIRINHA;693;RITA BICUDO PEREIRA PROFA;Ativa;EE;PERI RONCHETTI;494;AVENIDA;2633000;JARDIM PERI;URBANA;-46,65100098;-23,46190071;
ESTADUAL - SE;LESTE 5;SAO PAULO;VILA MARIA;700;HORACIO LAFER MINISTRO;Ativa;EE;DIAS DA SILVA;1464;RUA;2114002;VILA MARIA;URBANA;-46,58465958;-23,51390076;
ESTADUAL - SE;CENTRO;SAO PAULO;VILA GUILHERME;711;NARBAL FONTES PROFESSORA;Ativa;EE;AVENIDA CONCEICAO;806;AVENIDA;2072000;CARANDIRU;URBANA;-46,605751;-23,50029;
ESTADUAL - SE;CENTRO;SAO PAULO;SANTANA;723;OCTAVIO MENDES DOUTOR;Ativa;EE;RUA VOLUNTARIOS DA PATRIA;3422;RUA;2402300;SANTANA;URBANA;-46,62620163;-23,48914909;
ESTADUAL - SE;NORTE 2;SAO PAULO;MANDAQUI;735;PAUL HUGON PROF;Ativa;EE;JOSE DE ALMEIDA BOTELHO GENERAL;196;RUA;2422090;PARQUE MANDAQUI;URBANA;-46,63539886;-23,47109985;
ESTADUAL - SE;LESTE 5;SAO PAULO;VILA MARIA;747;MARIA MONTESSORI;Ativa;EE;CONCEICAO;2288;AVENIDA;2072002;VILA PAIVA;URBANA;-46,59312826;-23,50017284;
ESTADUAL - SE;LESTE 5;SAO PAULO;VILA MARIA;759;FLORINDA CARDOSO PROFESSORA;Ativa;EE;ITAUNA;748;RUA;2111031;VILA MARIA;URBANA;-46,59052627;-23,51597168;
ESTADUAL - SE;CENTRO;SAO PAULO;VILA GUILHERME;760;AFRANIO PEIXOTO;Ativa;EE;RUA MARIA CANDIDA;1936;RUA;2071013;VILA GUILHERME;URBANA;-46,5969696;-23,50844002;
ESTADUAL - SE;NORTE 2;SAO PAULO;MANDAQUI;772;VISCONDE DE INHAUMA ALMIRANTE;Ativa;EE;GUACA;1382;AVENIDA;2435001;LAUZANE PAULISTA;URBANA;-46,63349915;-23,47669983;
ESTADUAL - SE;CENTRO;SAO PAULO;VILA GUILHERME;784;ANESIA SINCORA PROFESSORA;Ativa;EE;RUA JOSE BERNARDO PINTO;758;RUA;2055001;VILA GUILHERME;URBANA;-46,60467911;-23,51567078;
ESTADUAL - SE;LESTE 5;SAO PAULO;VILA MARIA;796;HEROIS DA FEB;Ativa;EE;RUA SOLDADO BENEDITO ELISEU DOS SANTOS;SN;RUA;2177020;PARQUE NOVO MUNDO;URBANA;-46,56898117;-23,51194954;
ESTADUAL - SE;LESTE 5;SAO PAULO;VILA MARIA;802;IMPERATRIZ LEOPOLDINA;Ativa;EE;TOGO;571;RUA;2124050;JARDIM JAPAO;URBANA;-46,57794952;-23,5053997;
ESTADUAL - SE;NORTE 2;SAO PAULO;CACHOEIRINHA;814;RAQUEL ASSIS BARREIROS PROFA;Ativa;EE;PENHA BRASIL GENERAL;1255;AVENIDA;2673000;VILA NOVA CACHOEIRINHA;URBANA;-46,6683;-23,4641;
ESTADUAL - SE;LESTE 5;SAO PAULO;VILA MARIA;838;JOAO VIEIRA DE ALMEIDA;Ativa;EE;GUILHERME COTCHING;1272;AVENIDA;2113012;VILA MARIA;URBANA;-46,58943176;-23,51825905;
ESTADUAL - SE;CENTRO;SAO PAULO;CASA VERDE;848;JOAQUIM LEME DO PRADO PROFESSOR;Ativa;EE;AVENIDA IMIRIM;2113;AVENIDA;2465200;IMIRIM;URBANA;-46,6522789;-23,48822975;
ESTADUAL - SE;LESTE 5;SAO PAULO;VILA MARIA;851;JULIO MAIA;Ativa;EE;SOBRAL JUNIOR;234;RUA;2130020;VILA MARIA ALTA;URBANA;-46,58980942;-23,50536919;
ESTADUAL - SE;NORTE 2;SAO PAULO;MANDAQUI;863;JOSE MARCELINO DA FONSECA MAJOR;Ativa;EE;RUA SOLDADO BENTINHO;87;RUA;2418090;PARQUE MANDAQUI;URBANA;-46,62895966;-23,47079086;
ESTADUAL - SE;NORTE 2;SAO PAULO;MANDAQUI;875;CASTRO ALVES;Ativa;EE;FRANCISCO BRUNO;67;RUA;2432070;VILA MARIZA MAZZEI;URBANA;-46,63970184;-23,48559952;
ESTADUAL - SE;CENTRO;SAO PAULO;VILA GUILHERME;899;PEDRO COSTA DEPUTADO;Ativa;EE;NILO LUIS MAZZEI;378;RUA;2081070;VILA ISOLINA MAZZEI;URBANA;-46,60280991;-23,4934597;
ESTADUAL - SE;NORTE 2;SAO PAULO;MANDAQUI;905;CARLOS DE LAET PROF;Ativa;EE;ALBERTINA VIEIRA DA SILVA GORDO;147;RUA;2410000;VILA AURORA ZONA NORTE;URBANA;-46,6242981;-23,47699928;
ESTADUAL - SE;CENTRO;SAO PAULO;SANTANA;917;ANTONIO LISBOA PROFESSOR;Ativa;EE;RUA PROFESSOR FABIO FANUCCHI;425;RUA;2045080;BAIRRO JARDIM SAO PAULO;URBANA;-46,62107849;-23,50462914;
ESTADUAL - SE;CENTRO;SAO PAULO;SANTANA;929;ANTONIO VIEIRA PADRE;Ativa;EE;AVENIDA CRUZEIRO DO SUL;3301;AVENIDA;2031200;CANINDE;URBANA;-46,62521362;-23,50171089;
ESTADUAL - SE;CENTRO;SAO PAULO;SANTANA;930;HOMEM DE MELLO BARAO;Ativa;EE;RUA ALFREDO PUJOL;1555;RUA;2017013;SANTANA;URBANA;-46,62908936;-23,50016975;
ESTADUAL - SE;CENTRO;SAO PAULO;SANTANA;942;BUENOS AIRES;Ativa;EE;RUA DOUTOR OLAVO EGIDIO;1008;RUA;2037001;SANTANA;URBANA;-46,61624908;-23,50009918;
ESTADUAL - SE;CENTRO;SAO PAULO;VILA GUILHERME;966;GONCALVES DIAS;Ativa;EE;NILO LUIS MAZZEI;SN;RUA;2081070;VILA ISOLINA MAZZEI;URBANA;-46,60326004;-23,49443054;
ESTADUAL - SE;CENTRO;SAO PAULO;VILA GUILHERME;978;CASIMIRO DE ABREU;Ativa;EE;RUA CORONEL JORDAO;144;RUA;2075030;VILA PAIVA;URBANA;-46,60173035;-23,50790024;
ESTADUAL - SE;CENTRO;SAO PAULO;SANTANA;985;REPUBLICA DA BOLIVIA;Ativa;EE;RUA OUTEIRO DA CRUZ;571;RUA;2041040;JARDIM SAO PAULO;URBANA;-46,6315918;-23,48498917;
ESTADUAL - SE;NORTE 2;SAO PAULO;JACANA;1004;EURICO FIGUEIREDO PROF;Ativa;EE;FONSECA FILHO MINISTRO;75;RUA;2272030;JACANA;URBANA;-46,58660126;-23,47019958;
ESTADUAL - SE;NORTE 2;SAO PAULO;TUCURUVI;1016;ALBERTO CARDOSO DE MELLO NETO DR;Ativa;EE;VIRGILIA RODRIGUES ALVES DE CARVALHO PINTO PROFESSORA;633;AVENIDA;2346000;JARDIM LEONOR MENDES DE BARROS;URBANA;-46,604599;-23,46439934;
ESTADUAL - SE;NORTE 2;SAO PAULO;VILA MEDEIROS;1028;VICTOR DOS SANTOS CUNHA PROF;Ativa;EE;JOAO SIMAO DE CASTRO;280;AVENIDA;2141000;VILA SABRINA;URBANA;-46,57130051;-23,49150085;
ESTADUAL - SE;NORTE 2;SAO PAULO;VILA MEDEIROS;1036;SEBASTIAO DE SOUZA BUENO PROF;Ativa;EE;FRANCISCO DE MEDEIROS JORDAO;579;RUA;2214030;VILA MEDEIROS;URBANA;-46,58599854;-23,49230003;
ESTADUAL - SE;NORTE 2;SAO PAULO;JACANA;1041;JOHANN GUTENBERG;Ativa;EE;BUSSE CAPITAO;391;RUA;2232050;PARQUE EDU CHAVES;URBANA;-46,56330109;-23,47360039;
ESTADUAL - SE;NORTE 2;SAO PAULO;JACANA;1053;LUIZ AMARAL WAGNER PROF;Ativa;EE;NICOLINO MORENA DOUTOR;541;RUA;2257000;VILA CONSTANCA;URBANA;-46,58110046;-23,4734993;
ESTADUAL - SE;NORTE 2;SAO PAULO;VILA MEDEIROS;1065;DAVID EUGENIO DOS SANTOS PROF;Ativa;EE;JOSE DE ALMEIDA;1377;RUA;2204001;VILA MEDEIROS;URBANA;-46,58981705;-23,48359108;
ESTADUAL - SE;NORTE 2;SAO PAULO;TREMEMBE;1077;JUDITH GUIMARAES DOS SANTOS PROFA;Ativa;EE;MANUEL PEREIRA SAMPAIO;66;RUA;2352030;BORTOLANDIA;URBANA;-46,59719849;-23,45639992;
ESTADUAL - SE;NORTE 2;SAO PAULO;JACANA;1089;GABRIELA MISTRAL;Ativa;EE;BARACCA MAJOR;584;RUA;2232000;PARQUE EDU CHAVES;URBANA;-46,5623703;-23,47837067;
ESTADUAL - SE;NORTE 2;SAO PAULO;VILA MEDEIROS;1090;JOSE MARIA REYS PROF;Ativa;EE;CONCEICAO;3027;AVENIDA;2135001;JARDIM JAPAO;URBANA;-46,5872612;-23,49739075;
ESTADUAL - SE;NORTE 2;SAO PAULO;VILA MEDEIROS;1119;EURIPEDES DE CASTRO;Ativa;EE;EDGAR RUZZANT;456;AVENIDA;2225010;JARDIM BRASIL ZONA NORTE;URBANA;-46,57550049;-23,48049927;
ESTADUAL - SE;CENTRO;SAO PAULO;SANTANA;1120;EXPEDICIONARIO BRASILEIRO;Ativa;EE;RUA ALTINOPOLIS;501;RUA;2334001;AGUA FRIA;URBANA;-46,620038;-23,482573;
ESTADUAL - SE;NORTE 2;SAO PAULO;TUCURUVI;1132;PEDRO ALEXANDRINO;Ativa;EE;IMBIRAS;49;RUA;2316000;VILA NOVA MAZZEI;URBANA;-46,5969;-23,4653;
ESTADUAL - SE;NORTE 2;SAO PAULO;JACANA;1144;JULIO PESTANA;Ativa;EE;GUAPIRA;2862;AVENIDA;2265002;TUCURUVI;URBANA;-46,58340073;-23,46489906;
ESTADUAL - SE;NORTE 2;SAO PAULO;TUCURUVI;1156;SILVA JARDIM;Ativa;EE;TUCURUVI;724;AVENIDA;2304002;TUCURUVI;URBANA;-46,60520172;-23,48130035;
ESTADUAL - SE;NORTE 2;SAO PAULO;TUCURUVI;1168;ALFREDO INACIO TRINDADE;Ativa;EE;JOAO ROSA;86;RUA;2255130;VILA NIVI;URBANA;-46,59220123;-23,47789955;
ESTADUAL - SE;NORTE 2;SAO PAULO;TUCURUVI;1173;ALBINO CESAR;Ativa;EE;CAJAMAR;5;RUA;2308090;VILA MAZZEI;URBANA;-46,6067009;-23,47769928;
ESTADUAL - SE;NORTE 2;SAO PAULO;TUCURUVI;1181;RAFAEL DE MORAES LIMA PROF;Ativa;EE;LAVINIA PACHECO E SILVA;SN;RUA;2346140;JARDIM LEONOR MENDES DE BARROS;URBANA;-46,60589981;-23,46570015;
ESTADUAL - SE;NORTE 2;SAO PAULO;TREMEMBE;1193;PHILOMENA BAYLAO PROFA;Ativa;EE;CORONEL SEZEFREDO FAGUNDES;14666;;2368000;NUCLEO DO ENGORDADOR;URBANA;-46,58358002;-23,41511917;
ESTADUAL - SE;NORTE 2;SAO PAULO;VILA MEDEIROS;1200;LAEL DE MOURA PRADO PROF;Ativa;EE;AV PROFESSOR CASTRO JUNIOR;609;AVENIDA;2138030;VL SABRINA;URBANA;-46,5743;-23,4976;
